file,filter,quality_flag,mean,median,std,min_value,max_value,saturation_fraction,bad_pixel_fraction
qatar1b-001.fit,R,ok,61.071054097563504,55.618749162560626,219.52521784860377,-3466.8238967513566,42955.96242800195,0.0,0.006785199140443319
qatar1b-002.fit,R,ok,85.92601235958698,78.56300781365144,303.40960931289544,-4859.514633810647,65648.4588149279,1.839804539165759e-06,0.0013522563362868328
qatar1b-003.fit,R,ok,86.02468059467172,78.68669470215681,294.67818996160577,-4677.6764790927655,65454.402837682406,1.839804539165759e-06,0.0012805039592593682
qatar1b-004.fit,R,ok,87.1203567462512,79.71040350464754,324.6584240941988,-4359.71367223971,65648.4588149279,5.519413617497277e-06,0.0012271496276235613
qatar1b-005.fit,R,ok,86.81977773236841,79.36097614341242,329.07598313231995,-3788.8028177623387,65348.835843147164,7.359218156663036e-06,0.0011940331459185775
qatar1b-006.fit,R,ok,87.03467197032056,79.61535433045654,316.5505707793836,-3559.2194492358512,65648.4588149279,1.839804539165759e-06,0.0012161108003885667
qatar1b-007.fit,R,ok,87.2237268609713,79.83957814445837,337.6434391752342,-3296.112845482045,65648.4588149279,7.359218156663036e-06,0.001107562332577787
qatar1b-008.fit,R,ok,86.87134461160569,79.47069723702518,321.50885413662655,-3433.253353230168,65648.4588149279,5.519413617497277e-06,0.0011572370551352624
qatar1b-009.fit,R,ok,86.5551928242498,79.139482071913,307.68263243910593,-3596.8061069149667,65305.378632866574,1.839804539165759e-06,0.001153557446056931
qatar1b-010.fit,R,ok,86.75954436900452,79.31707442098653,335.0192084246588,-3416.9996634229833,65454.402837682406,7.359218156663036e-06,0.001136999205204439
qatar1b-011.fit,R,ok,86.47697452456407,79.03780272003259,330.5802462243763,-3610.0122298833044,65454.402837682406,5.519413617497277e-06,0.0011664360778310913
qatar1b-012.fit,R,ok,86.69672197826358,79.23401969013918,329.0508201148436,-2970.023193725397,65147.72027682925,7.359218156663036e-06,0.0010302905419328251
qatar1b-013.fit,R,ok,86.60257871994204,79.17090972446118,328.130240478499,-2962.9122044347537,65648.4588149279,5.519413617497277e-06,0.0010450089782461512
qatar1b-014.fit,R,ok,86.89058313915152,79.4317057383247,336.7165278899248,-3490.1412675553156,65648.4588149279,7.359218156663036e-06,0.001068926437255306
qatar1b-015.fit,R,ok,86.71322276322871,79.27137213079672,333.29433891088524,-2236.5754411761764,65648.4588149279,5.519413617497277e-06,0.001122280768891113
qatar1b-016.fit,R,ok,86.47140229635738,78.9309664788927,327.98334035774946,-1554.0652995142611,65560.49418880201,5.519413617497277e-06,0.0010284507373936594
qatar1b-017.fit,R,ok,86.25797885835833,78.7823205796046,322.5136536813406,-2921.262124303842,65560.49418880201,1.839804539165759e-06,0.0010946837008036267
qatar1b-018.fit,R,ok,85.81779395891269,78.29497393211929,334.7734523908903,-2743.4873920377568,65635.59596739794,5.519413617497277e-06,0.0011553972505960967
qatar1b-019.fit,R,ok,85.64348876089021,78.16209735814428,327.88824331759446,-2783.1057609427703,65560.49418880201,5.519413617497277e-06,0.0011627564687527597
qatar1b-020.fit,R,ok,85.7354933106733,78.3262577680571,326.06851756155044,-2474.2856546062562,65560.49418880201,5.519413617497277e-06,0.0011020429189602897
qatar1b-021.fit,R,ok,85.65518267060315,78.4078835191513,278.7189136863038,-2204.068061561806,57971.51093184867,0.0,0.0011719554914485886
qatar1b-022.fit,R,ok,85.61519476504849,78.22053994453788,306.20343464731627,-2981.588857414267,65192.67379502538,1.839804539165759e-06,0.0011278001825086102
qatar1b-023.fit,R,ok,85.63271907844603,78.1834464868158,313.62387782363487,-2384.890360666739,65454.402837682406,5.519413617497277e-06,0.0010946837008036267
qatar1b-024.fit,R,ok,85.56831667874195,78.03384987762855,329.56812199039484,-2604.3151730637355,65648.4588149279,5.519413617497277e-06,0.0011038827234994555
qatar1b-025.fit,R,ok,85.3926839568858,77.91116869966982,327.8912361845556,-2583.9980608047545,65858.47779195143,5.519413617497277e-06,0.0011958729504577433
qatar1b-026.fit,R,ok,85.53690139985356,78.03950269450867,335.5058466609804,-2779.042338490974,65858.47779195143,5.519413617497277e-06,0.0011498778369785994
qatar1b-027.fit,R,ok,85.25905859256339,77.79035106064669,300.6374298658771,-3067.5453325685066,61785.781747008914,1.839804539165759e-06,0.0011112419416561185
qatar1b-028.fit,R,ok,84.60478788628879,77.15282069335322,314.7375740018646,-3051.291642761322,65560.49418880201,1.839804539165759e-06,0.0013301786818168439
qatar1b-029.fit,R,ok,84.3677709094835,76.87918270959095,328.0418957322394,-2421.1624380146113,65635.59596739794,3.679609078331518e-06,0.0013025816137293574
qatar1b-030.fit,R,ok,84.6260645677924,77.17817289135989,325.56493049362723,-2530.1577133184546,65454.402837682406,5.519413617497277e-06,0.0012768243501810367
qatar1b-031.fit,R,ok,84.69163505060449,77.2826374113019,330.0871932711809,-2163.433837043844,65648.4588149279,5.519413617497277e-06,0.0011719554914485886
qatar1b-032.fit,R,ok,84.93100425644481,77.43834507982199,324.3583944241754,-2895.8657339801157,63867.37537853549,5.519413617497277e-06,0.0012234700185452297
qatar1b-033.fit,R,ok,84.05911737485465,76.54118651736823,337.529641963991,-2000.8969389719946,65635.59596739794,9.199022695828796e-06,0.0012694651320243736
qatar1b-034.fit,R,ok,83.91733551937646,76.38875372347951,331.7993798500493,-2358.001678762056,65635.59596739794,5.519413617497277e-06,0.001343057313591004
qatar1b-035.fit,R,ok,84.07643342439407,76.5634170657322,339.7289867961831,-4528.526183234782,65648.4588149279,7.359218156663036e-06,0.0012308292367018928
qatar1b-036.fit,R,ok,83.95985144826132,76.40993455704262,326.35420532692575,-2856.2473650751026,65648.4588149279,5.519413617497277e-06,0.0012933825910335286
qatar1b-037.fit,R,ok,83.9669277550789,76.44808585542692,345.9451478735591,-2289.3999330495276,65635.59596739794,5.519413617497277e-06,0.0013246592681993466
qatar1b-038.fit,R,ok,83.83469852392714,76.2696588917924,342.5306472281018,-1716.457367346258,65648.4588149279,7.359218156663036e-06,0.0013117806364251862
qatar1b-039.fit,R,ok,84.18586433872743,76.66362789288021,339.2970826544531,-1543.8696900128614,65648.4588149279,9.199022695828796e-06,0.0011921933413794117
qatar1b-040.fit,R,ok,84.27078370776184,76.72353795589518,322.7263626147213,-1527.1915806735994,65635.59596739794,3.679609078331518e-06,0.0012345088457802243
qatar1b-041.fit,R,ok,83.98698342250148,76.42817647516236,341.3536555799131,-2401.144050473924,65635.59596739794,3.679609078331518e-06,0.0011719554914485886
qatar1b-042.fit,R,ok,84.12066531360708,76.56842450949958,337.6316502791197,-1795.6941051562846,65648.4588149279,7.359218156663036e-06,0.001245547673015219
qatar1b-043.fit,R,ok,83.12594186306167,75.5965384019072,340.2409331485629,-1496.7785577608274,65648.4588149279,5.519413617497277e-06,0.0013614553589826617
qatar1b-044.fit,R,ok,82.90119129107123,75.35432961312895,338.90796372829703,-1653.4743193434163,65858.47779195143,7.359218156663036e-06,0.0013853728179918166
qatar1b-045.fit,R,ok,82.72926799501997,75.18743660811407,337.30320520632256,-1634.1730626973842,65858.47779195143,5.519413617497277e-06,0.0012952223955726943
qatar1b-046.fit,R,ok,82.77552433742638,75.15054024683153,338.27460805982736,-2102.4825002669004,65858.47779195143,7.359218156663036e-06,0.001313620440964352
qatar1b-047.fit,R,ok,82.72563122709089,75.1290348001912,338.2431047817089,-2259.9401202740046,65858.47779195143,9.199022695828796e-06,0.0013927320361484797
qatar1b-048.fit,R,ok,82.67481728802831,75.1886704686309,304.67115413416957,-2155.3069921402516,65500.30300711647,1.839804539165759e-06,0.0013632951635218274
qatar1b-049.fit,R,ok,82.88485216506024,75.38169513568442,329.8135655516514,-2323.9390238897954,65454.402837682406,5.519413617497277e-06,0.001366974772600159
qatar1b-050.fit,R,ok,83.14156870450213,75.58962160854796,331.9959009412974,-1617.1159472122436,65454.402837682406,5.519413617497277e-06,0.0013338582908951754
qatar1b-051.fit,R,ok,82.45567622909194,74.95961115284891,300.6809583212872,-2105.5300671057475,64859.194958563494,1.839804539165759e-06,0.0014442465632451208
qatar1b-052.fit,R,ok,81.75748268173811,74.3041033489461,332.4937559278094,-2060.832420135989,65635.59596739794,7.359218156663036e-06,0.0015619940537517293
qatar1b-053.fit,R,ok,82.15739274487275,74.66117258376023,324.5596037564897,-4304.957146515421,65635.59596739794,3.679609078331518e-06,0.0014240087133142974
qatar1b-054.fit,R,ok,82.82768205495717,75.52297970721963,264.7322498314505,-1923.896777867511,49138.15563953162,0.0,0.0013448971181301698
qatar1b-055.fit,R,ok,82.07218086891842,74.6732391794514,278.0857535804543,-1599.6339718571162,48478.597742391794,0.0,0.0015491154219775692
qatar1b-056.fit,R,ok,81.87008513882452,74.32749679514322,321.7550300048446,-1514.4377323553401,65635.59596739794,3.679609078331518e-06,0.0015233581584292485
qatar1b-057.fit,R,ok,82.04196569223011,74.60100646259511,317.5220134101131,-1892.2003883864452,65635.59596739794,3.679609078331518e-06,0.0014460863677842866
qatar1b-058.fit,R,ok,82.23083835246497,74.78321850430237,319.22577249295597,-2203.052205948857,65648.4588149279,3.679609078331518e-06,0.0014755232404109388
qatar1b-059.fit,R,ok,82.09685344828931,74.66123971863533,313.8727294130245,-4533.53894190562,65407.31977087795,3.679609078331518e-06,0.001458964999558447
qatar1b-060.fit,R,ok,82.02490531359364,74.49393585485474,331.9774410369516,-4609.732873702354,65635.59596739794,3.679609078331518e-06,0.001411130081540137
qatar1b-061.fit,R,ok,82.92445453881346,75.46809734633187,317.75997493699253,-1622.1287058830812,65858.47779195143,3.679609078331518e-06,0.0014019310588443085
qatar1b-062.fit,R,ok,83.39094526441197,75.8986301029133,304.4269323734412,-1404.558423767261,58592.104678404714,0.0,0.0012400282593977216
qatar1b-063.fit,R,ok,82.9290010316374,75.44203007546193,323.2320477377055,-1781.4721265749977,65635.59596739794,5.519413617497277e-06,0.0012768243501810367
qatar1b-064.fit,R,ok,83.0023864275046,75.55313865198502,312.6262157618555,-2124.8313237517796,65635.59596739794,1.839804539165759e-06,0.0013761737952959878
qatar1b-065.fit,R,ok,83.57535229862802,76.10291428108283,299.0077609214535,-3856.81652134253,56098.98608311444,0.0,0.001168275882370257
qatar1b-066.fit,R,ok,83.69721533934168,76.23262416510607,302.9433716667268,-2434.1956105587897,62004.009954668174,1.839804539165759e-06,0.0011903535368402462
qatar1b-067.fit,R,ok,83.73678243067171,76.28590249386832,303.3442926703655,-1828.2014847706546,62309.717737572806,1.839804539165759e-06,0.0012713049365635394
qatar1b-068.fit,R,ok,84.03350708067707,76.54199615138977,312.39543762825514,-1752.0123137994751,60482.25173918817,1.839804539165759e-06,0.001205071973153572
qatar1b-069.fit,R,ok,83.64903060814967,76.1662399822691,298.3953375076565,-2020.1981956180266,61949.86874153806,1.839804539165759e-06,0.0011866739277619147
qatar1b-070.fit,R,ok,83.86214815569356,76.40746211544524,291.14428664857587,-1525.229450163098,58851.764623135205,0.0,0.0011719554914485886
qatar1b-071.fit,R,ok,84.98517824446773,77.64123292413153,267.57448383341057,-1834.296618448349,48465.62358103172,0.0,0.0010726060463336375
