frame_index,file,time_jd,exptime,source_id,role,x,y,aperture_sum,background_median,background_total,net_flux,aperture_radius,annulus_r_in,annulus_r_out
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,target,target,470.32939926500535,203.93605625823818,91820.30488507132,59.52333021775744,3715.3246655789967,88104.98021949232,4.457381830860963,7.577549112463637,10.69771639406631
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_1,comparison,444.31251343779365,45.43960316813833,51930.30201857971,57.23840548039179,3803.2240438740655,48127.077974705644,4.5989348281912115,7.81818920792506,11.037443587658908
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_2,comparison,491.4001991871266,39.02712128767794,45012.406586745376,55.611814291834804,3979.5199480297897,41032.88663871559,4.772620196683624,8.11345433436216,11.454288472040696
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_3,comparison,150.71181132650605,111.57967860062298,57368.12091250018,57.953987123098514,4049.722493714874,53318.398418785306,4.716241503699748,8.01761055628957,11.318979608879394
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_4,comparison,809.4995549330678,417.353967388286,59009.494489318036,54.95913050093263,4011.9737112639505,54997.52077805409,4.820412193538277,8.194700729015072,11.568989264491865
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_5,comparison,800.0665797140925,176.26694301571007,171502.0782739456,63.79997035623694,3870.178988633866,167631.89928531175,4.394205371040066,7.470149130768111,10.546092890496157
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_6,comparison,614.060870657053,372.24733325478013,34315.74876143273,56.35977942117083,4247.599260306837,30068.149501125896,4.897925664111737,8.326473628989953,11.755021593868168
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_7,comparison,817.9326784089195,137.8726535108247,33648.77673520532,60.28673626936754,4785.975651563359,28862.80108364196,5.026890434168184,8.545713738085912,12.064537042003641
0,ali_cal_qatar1b-001.fit,2458040.248622685,60.0,comp_8,comparison,27.125879728762033,532.0761989044349,41141.17478207019,51.21764366579211,4658.510974532652,36482.66380753754,5.380700610298733,9.147191037507847,12.91368146471696
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,target,target,470.03778349802053,204.06930479658772,121738.07501358486,87.99863451357251,4929.647956163963,116808.42705742091,4.222746882615895,7.1786697004470215,10.134592518278147
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_1,comparison,444.0686991878573,45.62106339671587,69757.41148415886,80.26429184305213,5048.09521289411,64709.316271264746,4.474326202082595,7.6063545435404105,10.738382884998227
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_2,comparison,491.1824305500526,39.369480515199264,58217.80868291206,83.5264778741067,5151.3097390113035,53066.498943900755,4.4306945538163305,7.532180741487761,10.633666929159192
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_3,comparison,150.26354068366086,111.84320324049662,78737.17912152271,81.11390970855766,5673.308421129615,73063.8707003931,4.718409103854987,8.021295476553478,11.32418184925197
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_4,comparison,809.1954264898493,417.46176857984835,78629.47977269835,79.80870215819625,5265.793885008003,73363.68588769034,4.582810161320644,7.790777274245095,10.998744387169546
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_5,comparison,799.851781962929,176.44652644665922,229719.95620154546,91.09910472962686,5242.855242851567,224477.1009586939,4.280080551793219,7.276136938048472,10.272193324303725
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_6,comparison,613.7464956965033,372.47251719570113,46474.226619856425,80.14534588692612,5517.242849934,40956.98376992242,4.681089666494958,7.957852433041428,11.234615199587898
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_7,comparison,817.645756370684,138.0535308357161,43317.20902625405,85.1650638405443,5369.432960358161,37947.77606589589,4.47979909515885,7.615658461770045,10.75151782838124
1,ali_cal_qatar1b-002.fit,2458040.249814815,80.0,comp_8,comparison,26.881102643706598,532.1981997696819,54836.980561551514,72.74131850815368,6407.800909326292,48429.179652225226,5.295280667638298,9.001977134985108,12.708673602331915
2,ali_cal_qatar1b-003.fit,2458040.2508564815,80.0,target,target,469.87283871073424,203.61467640574054,122281.92052795122,86.05769360095991,5265.089017130404,117016.83151082082,4.412991302388686,7.502085214060767,10.591179125732847
2,ali_cal_qatar1b-003.fit,2458040.2508564815,80.0,comp_1,comparison,443.79999535931546,45.2637628951977,69562.37802034865,80.86562342171017,5197.898264828869,64364.47975551979,4.523316551490489,7.689638137533831,10.855959723577174
2,ali_cal_qatar1b-003.fit,2458040.2508564815,80.0,comp_2,comparison,490.947200519029,38.807356338501265,58077.63387017878,80.45367599563689,5208.234998402763,52869.39887177602,4.53938902561986,7.716961343553762,10.894533661487664
2,ali_cal_qatar1b-003.fit,2458040.2508564815,80.0,comp_3,comparison,150.09198238093128,111.23114933074504,77828.14749129262,82.95157581511224,6177.949996756799,71650.19749453582,4.868945773791027,8.277207815444745,11.685469857098465
