frame_index,file,time_jd,target_flux,comparison_flux,differential_flux,differential_mag,n_comparisons_used,relative_flux
0,ali_cal_qatar1b-001.fit,2458040.248622685,88183.13407962734,0.7471682014314472,1.0083968804099581,-0.009078733668208801,7,1.0078646858146607
1,ali_cal_qatar1b-002.fit,2458040.249814815,117276.960541324,1.000566844506008,1.0014538450832986,-0.0015773459123772328,7,1.000925314765378
2,ali_cal_qatar1b-003.fit,2458040.2508564815,117257.79725921314,0.992849340906403,1.0090733207578126,-0.009806809654780061,7,1.008540769162306
3,ali_cal_qatar1b-004.fit,2458040.251886574,118030.21480782761,1.000835430010519,1.0076155718645003,-0.008237176349052779,7,1.00708378961497
4,ali_cal_qatar1b-005.fit,2458040.2529166667,117158.22297520943,1.0012443959221413,0.9997629117859506,0.0002574457776008159,7,0.9992352738801143
5,ali_cal_qatar1b-006.fit,2458040.2539467593,118022.30629784371,0.9966566987216534,1.0117724534971508,-0.012707127844847656,7,1.0112384773991654
6,ali_cal_qatar1b-007.fit,2458040.254976852,116966.616790141,0.9944129139904678,1.0049848545493316,-0.005398792114617074,7,1.0044544606951484
7,ali_cal_qatar1b-008.fit,2458040.2560069445,116293.32756158376,0.9931155431107579,1.000505228551386,-0.0005484064062925749,7,0.9999771988782028
8,ali_cal_qatar1b-009.fit,2458040.257037037,116932.17537226663,0.9953891501217346,1.0037035746558352,-0.004013677193612276,7,1.0031738570138138
9,ali_cal_qatar1b-010.fit,2458040.2580671296,116954.90068148625,0.9955847771824087,1.0037013798149732,-0.004011302965948653,7,1.0031716633313077
10,ali_cal_qatar1b-011.fit,2458040.2590972222,116020.02866275769,0.9954431988155052,0.9958199645483383,0.004547927712500124,7,0.9952944075842922
11,ali_cal_qatar1b-012.fit,2458040.260127315,117132.07026653824,0.9983660596692301,1.0024214591868856,-0.002625887948812903,7,1.0018924181980118
12,ali_cal_qatar1b-013.fit,2458040.2611574074,117478.44106734233,1.0016280577824261,1.002111480219136,-0.0022900936257904247,7,1.0015826028257022
13,ali_cal_qatar1b-014.fit,2458040.2621875,116554.55016292175,0.99386078767555,1.0020006902851784,-0.0021700517994760523,7,1.0014718713625759
14,ali_cal_qatar1b-015.fit,2458040.2632291666,116743.59950925148,0.99495349556374,1.0025236846819277,-0.0027366041162372656,7,1.0019945897422167
15,ali_cal_qatar1b-016.fit,2458040.264259259,116857.59331285377,0.9942757188094775,1.0041866612970445,-0.004536120758628637,7,1.0036566886997524
16,ali_cal_qatar1b-017.fit,2458040.265300926,117902.79235162275,1.0034385356817885,1.0039166556619756,-0.004244148833903622,7,1.0033868255636764
17,ali_cal_qatar1b-018.fit,2458040.2663310184,117144.53163942939,1.0018541667747456,0.9990376506488133,0.0010453606139791333,7,0.998510395508994
18,ali_cal_qatar1b-019.fit,2458040.267361111,118425.77053715535,0.9979658800565108,1.0138994094722091,-0.014987175269049744,7,1.0133643108454888
19,ali_cal_qatar1b-020.fit,2458040.2683912036,117683.85879090555,1.0013838522915983,1.0041085392865137,-0.004451651209291532,7,1.003578607919131
20,ali_cal_qatar1b-021.fit,2458040.269421296,119571.05282359182,1.0174419282879255,1.0041087848488757,-0.004451916734286009,7,1.0035788533518941
21,ali_cal_qatar1b-022.fit,2458040.270451389,117154.35606965874,1.0062798766454006,0.9947272094282514,0.005740005882272265,7,0.9942022291799609
22,ali_cal_qatar1b-023.fit,2458040.2714814814,117209.5528538181,1.0020195801950302,0.9994271550057253,0.0006221367609809187,7,0.9988996942999055
23,ali_cal_qatar1b-024.fit,2458040.272511574,116630.48334945863,0.9936236820127428,1.0028927360740707,-0.0031362143500443035,7,1.0023634463626778
24,ali_cal_qatar1b-025.fit,2458040.2735416666,118090.28850458401,0.9987240680519692,1.0102596600625409,-0.01108252960259777,7,1.0097264823610057
25,ali_cal_qatar1b-026.fit,2458040.274571759,117018.93173459094,1.0025314163726546,0.9972923376573956,0.002943794236984625,7,0.9967660036292528
26,ali_cal_qatar1b-027.fit,2458040.2756134258,118536.21862822925,1.0042842761921176,1.008460169802409,-0.009146874922717955,7,1.00792794180531
27,ali_cal_qatar1b-028.fit,2458040.2766435184,117552.49062957885,1.0002051368488283,1.0041696673945202,-0.004517746633511883,7,1.0036397037659817
28,ali_cal_qatar1b-029.fit,2458040.277673611,117113.12690755179,1.0052651764053746,0.9953808533367726,0.005026793474063024,7,0.994855528119391
29,ali_cal_qatar1b-030.fit,2458040.2787152776,116920.90030005574,1.00513634119871,0.9938744350381794,0.006671201015419133,7,0.9933499048526868
30,ali_cal_qatar1b-031.fit,2458040.27974537,118221.96586507179,1.0045686372615847,1.0055019233432365,-0.005957264150786838,7,1.0049712565992588
31,ali_cal_qatar1b-032.fit,2458040.2807754627,118047.37489206127,1.0077652339598295,1.0008322841193296,-0.000903265166493592,7,1.0003040818383082
32,ali_cal_qatar1b-033.fit,2458040.2818055553,117979.55945448428,1.0045335122569852,1.0034752941737826,-0.003766711276302363,7,1.0029456970097606
